ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity
SPY,2026-03-17,505.0,155.45,158.24,156.845,165.67,2.0,5.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,510.0,150.45,153.24,151.845,167.24,,5.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,605.0,55.61,58.41,57.01,62.15,3.0,4.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,640.0,22.77,23.18,22.975,23.27,6.0,4.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,650.0,14.24,14.58,14.41,14.33,27.0,13.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,655.0,10.49,10.77,10.63,10.58,25.0,56.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,659.0,7.87,7.98,7.925000000000001,7.91,97.0,42.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,660.0,7.26,7.35,7.305,7.29,737.0,672.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,661.0,6.66,6.71,6.6850000000000005,6.68,722.0,33.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,662.0,6.09,6.13,6.109999999999999,6.14,2613.0,452.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,663.0,5.53,5.58,5.555,5.56,4096.0,48.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,664.0,5.01,5.05,5.029999999999999,5.03,8506.0,135.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,665.0,4.51,4.54,4.525,4.54,13133.0,648.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,666.0,4.03,4.07,4.050000000000001,4.07,5318.0,332.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,667.0,3.58,3.6,3.59,3.61,3562.0,508.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,668.0,3.16,3.19,3.175,3.21,6586.0,1944.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,669.0,2.77,2.8,2.785,2.85,3859.0,1149.0,662.2899780273438,0.0027397260273972603
SPY,2026-03-17,670.0,2.4,2.44,2.42,2.44,26098.0,2070.0,662.2899780273438,0.0027397260273972603
