ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction
SPY,2026-03-17,505.0,155.45,158.24,156.845,165.67,2.0,5.0,662.2899780273438,0.0027397260273972,1.311465303024443,0.2711450640270133,0.05234239225902079,0.0035930556247244223
SPY,2026-03-17,510.0,150.45,153.24,151.845,167.24,,5.0,662.2899780273438,0.0027397260273972,1.2986078000536152,0.2612927675840018,0.05234239225902079,0.0035578295891879087
SPY,2026-03-17,605.0,55.61,58.41,57.01,62.15,3.0,4.0,662.2899780273438,0.0027397260273972,1.094694178557593,0.09047503527153179,0.05234239225902079,0.0029991621330344356
SPY,2026-03-17,640.0,22.77,23.18,22.975,23.27,6.0,4.0,662.2899780273438,0.0027397260273972,1.0348280906677245,0.034235316948655614,0.05234239225902079,0.0028351454538841146
SPY,2026-03-17,650.0,14.24,14.58,14.41,14.33,27.0,13.0,662.2899780273438,0.0027397260273972,1.0189076585036059,0.018731130412690547,0.05234239225902079,0.002791527831516667
SPY,2026-03-17,655.0,10.49,10.77,10.63,10.58,25.0,56.0,662.2899780273438,0.0027397260273972,1.0111297374463264,0.011068257667121377,0.05234239225902079,0.0027702184587569977
SPY,2026-03-17,659.0,7.87,7.98,7.925000000000001,7.91,97.0,42.0,662.2899780273438,0.0027397260273972,1.0049923794041635,0.004979958799866041,0.05234239225902079,0.0027534037791894284
SPY,2026-03-17,660.0,7.26,7.35,7.305,7.29,737.0,672.0,662.2899780273438,0.0027397260273972,1.0034696636777936,0.003463658281902004,0.05234239225902079,0.0027492319552815656
SPY,2026-03-17,661.0,6.66,6.71,6.6850000000000005,6.68,722.0,33.0,662.2899780273438,0.0027397260273972,1.0019515552607319,0.001949653450686981,0.05234239225902079,0.002745072754138931
SPY,2026-03-17,662.0,6.09,6.13,6.109999999999999,6.14,2613.0,452.0,662.2899780273438,0.0027397260273972,1.000438033273933,0.0004379373653649738,0.05234239225902079,0.0027409261185586606
SPY,2026-03-17,663.0,5.53,5.58,5.555,5.56,4096.0,48.0,662.2899780273438,0.0027397260273972,0.9989290769643194,-0.001071496883489222,0.05234239225902079,0.0027367919916830067
SPY,2026-03-17,664.0,5.01,5.05,5.029999999999999,5.03,8506.0,135.0,662.2899780273438,0.0027397260273972,0.9974246657038309,-0.002578656174060636,0.05234239225902079,0.002732670316996737
SPY,2026-03-17,665.0,4.51,4.54,4.525,4.54,13133.0,648.0,662.2899780273438,0.0027397260273972,0.9959247789884869,-0.004083547353480885,0.05234239225902079,0.0027285610383245614
SPY,2026-03-17,666.0,4.03,4.07,4.050000000000001,4.07,5318.0,332.0,662.2899780273438,0.0027397260273972,0.9944293964374531,-0.005586177238015882,0.05234239225902079,0.002724464099828579
SPY,2026-03-17,667.0,3.58,3.6,3.59,3.61,3562.0,508.0,662.2899780273438,0.0027397260273972,0.9929384977921195,-0.007086552613250533,0.05234239225902079,0.002720379446005747
SPY,2026-03-17,668.0,3.16,3.19,3.175,3.21,6586.0,1944.0,662.2899780273438,0.0027397260273972,0.9914520629151853,-0.008584680234272458,0.05234239225902079,0.0027163070216853795
SPY,2026-03-17,669.0,2.77,2.8,2.785,2.85,3859.0,1149.0,662.2899780273438,0.0027397260273972,0.9899700717897515,-0.010080566825855213,0.05234239225902079,0.0027122467720266568
SPY,2026-03-17,670.0,2.4,2.44,2.42,2.44,26098.0,2070.0,662.2899780273438,0.0027397260273972,0.9884925045184235,-0.011574219082638492,0.05234239225902079,0.0027081986425161694
SPY,2026-03-17,671.0,2.07,2.1,2.085,2.1,4699.0,1192.0,662.2899780273438,0.0027397260273972,0.9870193413224199,-0.013065643669308588,0.05234239225902079,0.0027041625789654745
SPY,2026-03-17,672.0,1.77,1.8,1.785,1.79,5391.0,1381.0,662.2899780273438,0.0027397260273972,0.9855505625406901,-0.014554847220776343,0.05234239225902079,0.0027001385275086803
SPY,2026-03-17,673.0,1.5,1.53,1.515,1.55,5142.0,1765.0,662.2899780273438,0.0027397260273972,0.9840861486290398,-0.016041836342354555,0.05234239225902079,0.0026961264346000496
SPY,2026-03-17,674.0,1.25,1.29,1.27,1.27,3851.0,832.0,662.2899780273438,0.0027397260273972,0.9826260801592637,-0.01752661760993385,0.05234239225902079,0.002692126247011622
SPY,2026-03-17,675.0,1.05,1.08,1.065,1.06,12259.0,3121.0,662.2899780273438,0.0027397260273972,0.981170337818287,-0.019009197570156625,0.05234239225902079,0.002688137911830864
SPY,2026-03-17,676.0,0.87,0.9,0.885,0.88,3727.0,1227.0,662.2899780273438,0.0027397260273972,0.9797189024073132,-0.020489582740590907,0.05234239225902079,0.0026841613764583333
SPY,2026-03-17,677.0,0.71,0.74,0.725,0.75,3610.0,1105.0,662.2899780273438,0.0027397260273972,0.9782717548409804,-0.021967779609901796,0.05234239225902079,0.002680196588605367
SPY,2026-03-17,678.0,0.58,0.6,0.59,0.6,3373.0,1139.0,662.2899780273438,0.0027397260273972,0.9768288761465247,-0.023443794638022344,0.05234239225902079,0.00267624349629179
SPY,2026-03-17,679.0,0.47,0.49,0.48,0.51,2742.0,1060.0,662.2899780273438,0.0027397260273972,0.975390247462951,-0.024917634256322922,0.05234239225902079,0.0026723020478436428
SPY,2026-03-17,680.0,0.38,0.4,0.39,0.4,8772.0,2608.0,662.2899780273438,0.0027397260273972,0.9739558500402113,-0.026389304867779198,0.05234239225902079,0.002668372191890931
SPY,2026-03-17,681.0,0.3,0.32,0.31,0.32,2200.0,1108.0,662.2899780273438,0.0027397260273972,0.9725256652383902,-0.027858812847139126,0.05234239225902079,0.002664453877365394
SPY,2026-03-17,682.0,0.25,0.26,0.255,0.26,4019.0,1563.0,662.2899780273438,0.0027397260273972,0.9710996745268969,-0.02932616454108892,0.05234239225902079,0.0026605470534982892
SPY,2026-03-17,683.0,0.19,0.21,0.2,0.21,3046.0,1377.0,662.2899780273438,0.0027397260273972,0.9696778594836658,-0.030791366268416834,0.05234239225902079,0.002656651669818204
SPY,2026-03-17,684.0,0.15,0.16,0.155,0.16,3708.0,1084.0,662.2899780273438,0.0027397260273972,0.9682602017943622,-0.0322544243201772,0.05234239225902079,0.0026527676761488794
SPY,2026-03-17,685.0,0.12,0.13,0.125,0.13,6443.0,4932.0,662.2899780273438,0.0027397260273972,0.9668466832515967,-0.03371534495985204,0.05234239225902079,0.002648895022607056
SPY,2026-03-17,686.0,0.09,0.11,0.1,0.1,1750.0,1220.0,662.2899780273438,0.0027397260273972,0.9654372857541454,-0.035174134423511944,0.05234239225902079,0.0026450336596003403
