contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T
SPY260116C00595000,2026-01-02 16:52:41+00:00,595.0,86.66,89.07,89.63,-2.3799973,-2.672953,10.0,3905,0.4705863488769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,89.35,1.1481848452271535,0.03287671232876712
SPY260116C00600000,2026-01-02 20:48:42+00:00,600.0,83.28,84.09,84.64,-1.1100006,-1.3153224,137.0,18941,0.4483697741699218,True,REGULAR,USD,2026-01-16,12,683.1699829101562,84.36500000000001,1.1386166381835938,0.03287671232876712
SPY260116C00605000,2026-01-02 21:05:45+00:00,605.0,79.4,79.12,79.7,-2.1800003,-2.672224,6.0,3455,0.4294490649414063,True,REGULAR,USD,2026-01-16,12,683.1699829101562,79.41,1.1292065833225724,0.03287671232876712
SPY260116C00610000,2026-01-02 21:05:37+00:00,610.0,74.42,74.14,74.72,-0.22000122,-0.29474977,170.0,4319,0.4075986975097656,True,REGULAR,USD,2026-01-16,12,683.1699829101562,74.43,1.1199507916559939,0.03287671232876712
SPY260116C00615000,2026-01-02 20:59:50+00:00,615.0,69.17,69.16,69.71,-2.209999,-3.0961041,88.0,2936,0.3839172937011719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,69.435,1.1108455006669207,0.03287671232876712
SPY260116C00620000,2026-01-02 20:49:47+00:00,620.0,63.66,64.23,64.73,-1.1099968,-1.7137514,74.0,5416,0.3619448571777344,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.48,1.1018870692099294,0.03287671232876712
SPY260116C00621000,2025-12-23 20:45:19+00:00,621.0,69.31,63.18,64.98,0.0,0.0,54.0,40,0.4172421557617187,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.08,1.1001126938971921,0.03287671232876712
SPY260116C00622000,2026-01-02 20:59:43+00:00,622.0,62.2,61.21,64.0,-7.0600014,-10.193476,28.0,28,0.412969737548828,True,REGULAR,USD,2026-01-16,12,683.1699829101562,62.605000000000004,1.0983440239713123,0.03287671232876712
SPY260116C00623000,2025-12-26 14:53:05+00:00,623.0,69.99,60.21,62.98,0.0,0.0,40.0,45,0.4069883520507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,61.595,1.0965810319585172,0.03287671232876712
SPY260116C00624000,2025-12-24 16:46:43+00:00,624.0,68.67,60.21,60.77,0.0,0.0,352.0,196,0.3455875988769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,60.49,1.094823690561148,0.03287671232876712
SPY260116C00625000,2026-01-02 20:46:22+00:00,625.0,58.69,59.21,59.84,-0.5400009,-0.91170174,36.0,3035,0.3444889770507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,59.525000000000006,1.09307197265625,0.03287671232876712
SPY260116C00626000,2025-12-29 17:19:56+00:00,626.0,62.62,58.21,58.85,0.0,0.0,17.0,105,0.3403386279296875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,58.53,1.0913258512941792,0.03287671232876712
SPY260116C00627000,2025-12-23 14:50:21+00:00,627.0,56.78,56.24,59.03,-4.7800026,-7.7647867,40.0,75,0.3884338500976562,True,REGULAR,USD,2026-01-16,12,683.1699829101562,57.635000000000005,1.0895852996972188,0.03287671232876712
SPY260116C00628000,2025-12-31 14:48:57+00:00,628.0,54.49,56.25,56.8,-4.779999,-8.064786,1.0,128,0.3283758569335937,True,REGULAR,USD,2026-01-16,12,683.1699829101562,56.525,1.0878502912582106,0.03287671232876712
SPY260116C00630000,2026-01-02 19:07:56+00:00,630.0,52.67,54.25,54.86,-2.210003,-4.0269732,85.0,3788,0.3219061950683593,True,REGULAR,USD,2026-01-16,12,683.1699829101562,54.555,1.0843967982700893,0.03287671232876712
SPY260116C00631000,2026-01-02 20:56:52+00:00,631.0,52.65,53.27,53.86,-9.919998,-15.854241,40.0,201,0.3171455004882812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,53.565,1.0826782613473158,0.03287671232876712
SPY260116C00633000,2025-12-29 14:35:05+00:00,633.0,57.04,50.31,53.08,0.0,0.0,40.0,94,0.3591372680664062,True,REGULAR,USD,2026-01-16,12,683.1699829101562,51.695,1.0792574769512737,0.03287671232876712
SPY260116C00634000,2026-01-02 20:59:04+00:00,634.0,50.25,49.31,52.11,-7.279999,-12.654265,40.0,26,0.3550479534912109,True,REGULAR,USD,2026-01-16,12,683.1699829101562,50.71,1.0775551780917292,0.03287671232876712
SPY260116C00635000,2026-01-02 20:08:23+00:00,635.0,49.64,49.29,49.93,-0.13000107,-0.26120368,32.0,4420,0.3013985876464844,True,REGULAR,USD,2026-01-16,12,683.1699829101562,49.61,1.0758582408033956,0.03287671232876712
