contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T,bs_price,error,abs_error,rel_error,implied_vol
SPY260116C00595000,2026-01-02 16:52:41+00:00,595.0,86.66,89.07,89.63,-2.3799973,-2.672953,10.0,3905,0.4705863488769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,89.35,1.1481848452271537,0.0328767123287671,88.87378550920994,-0.4762144907900563,0.4762144907900563,-0.005329764866145,0.39910319717371473
SPY260116C00600000,2026-01-02 20:48:42+00:00,600.0,83.28,84.09,84.64,-1.1100006,-1.3153224,137.0,18941,0.4483697741699218,True,REGULAR,USD,2026-01-16,12,683.1699829101562,84.36500000000001,1.1386166381835938,0.0328767123287671,83.8796998169264,-0.4853001830736048,0.4853001830736048,-0.0057523876379257,0.37996439053452014
SPY260116C00605000,2026-01-02 21:05:45+00:00,605.0,79.4,79.12,79.7,-2.1800003,-2.672224,6.0,3455,0.4294490649414063,True,REGULAR,USD,2026-01-16,12,683.1699829101562,79.41,1.1292065833225724,0.0328767123287671,78.88561412667923,-0.5243858733207674,0.5243858733207674,-0.0066035244090261,0.364434047887206
SPY260116C00610000,2026-01-02 21:05:37+00:00,610.0,74.42,74.14,74.72,-0.22000122,-0.29474977,170.0,4319,0.4075986975097656,True,REGULAR,USD,2026-01-16,12,683.1699829101562,74.43,1.119950791655994,0.0328767123287671,73.89152845930425,-0.5384715406957525,0.5384715406957525,-0.0072346035294337,0.34550856620055437
SPY260116C00615000,2026-01-02 20:59:50+00:00,615.0,69.17,69.16,69.71,-2.209999,-3.0961041,88.0,2936,0.3839172937011719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,69.435,1.110845500666921,0.0328767123287671,68.89744300727261,-0.5375569927273887,0.5375569927273887,-0.0077418735900826,0.32480174069392675
SPY260116C00620000,2026-01-02 20:49:47+00:00,620.0,63.66,64.23,64.73,-1.1099968,-1.7137514,74.0,5416,0.3619448571777344,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.48,1.1018870692099294,0.0328767123287671,63.90335926211412,-0.5766407378858815,0.5766407378858815,-0.0089429394833418,0.30816114269846684
SPY260116C00621000,2025-12-23 20:45:19+00:00,621.0,69.31,63.18,64.98,0.0,0.0,54.0,40,0.4172421557617187,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.08,1.100112693897192,0.0328767123287671,62.904543223228984,-1.1754567767710142,1.1754567767710142,-0.0183435826587236,0.35167782369232176
SPY260116C00622000,2026-01-02 20:59:43+00:00,622.0,62.2,61.21,64.0,-7.0600014,-10.193476,28.0,28,0.412969737548828,True,REGULAR,USD,2026-01-16,12,683.1699829101562,62.605,1.0983440239713125,0.0328767123287671,61.90572769857579,-0.6992723014242088,0.6992723014242088,-0.0111695919083812,0.31115555984455345
SPY260116C00623000,2025-12-26 14:53:05+00:00,623.0,69.99,60.21,62.98,0.0,0.0,40.0,45,0.4069883520507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,61.595,1.0965810319585172,0.0328767123287671,60.90691291322696,-0.688087086773038,0.688087086773038,-0.0111711516644701,0.3059007565081119
SPY260116C00624000,2025-12-24 16:46:43+00:00,624.0,68.67,60.21,60.77,0.0,0.0,352.0,196,0.3455875988769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,60.49,1.094823690561148,0.0328767123287671,59.908099183662216,-0.5819008163377859,0.5819008163377859,-0.009619785358535,0.29199458028489345
SPY260116C00625000,2026-01-02 20:46:22+00:00,625.0,58.69,59.21,59.84,-0.5400009,-0.91170174,36.0,3035,0.3444889770507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,59.525000000000006,1.09307197265625,0.0328767123287671,58.90928695181174,-0.6157130481882689,0.6157130481882689,-0.0103437723341162,0.29095316827851525
SPY260116C00626000,2025-12-29 17:19:56+00:00,626.0,62.62,58.21,58.85,0.0,0.0,17.0,105,0.3403386279296875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,58.53,1.0913258512941792,0.0328767123287671,57.9104768305217,-0.619523169478299,0.619523169478299,-0.010584711591975,0.2870852453544139
SPY260116C00627000,2025-12-23 14:50:21+00:00,627.0,56.78,56.24,59.03,-4.7800026,-7.7647867,40.0,75,0.3884338500976562,True,REGULAR,USD,2026-01-16,12,683.1699829101562,57.635000000000005,1.0895852996972188,0.0328767123287671,56.91166966380865,-0.7233303361913528,0.7233303361913528,-0.0125501923517194,0.2917154518264532
SPY260116C00628000,2025-12-31 14:48:57+00:00,628.0,54.49,56.25,56.8,-4.779999,-8.064786,1.0,128,0.3283758569335937,True,REGULAR,USD,2026-01-16,12,683.1699829101562,56.525,1.0878502912582106,0.0328767123287671,55.91286660608159,-0.6121333939184055,0.6121333939184055,-0.0108294275792729,0.2779948844051958
SPY260116C00630000,2026-01-02 19:07:56+00:00,630.0,52.67,54.25,54.86,-2.210003,-4.0269732,85.0,3788,0.3219061950683593,True,REGULAR,USD,2026-01-16,12,683.1699829101562,54.555,1.0843967982700893,0.0328767123287671,53.915279637670665,-0.639720362329335,0.639720362329335,-0.0117261545656554,0.27192665675264593
SPY260116C00631000,2026-01-02 20:56:52+00:00,631.0,52.65,53.27,53.86,-9.919998,-15.854241,40.0,201,0.3171455004882812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,53.565,1.0826782613473158,0.0328767123287671,52.91650067748185,-0.6484993225181483,0.6484993225181483,-0.0121067734998254,0.2684126064866186
SPY260116C00633000,2025-12-29 14:35:05+00:00,633.0,57.04,50.31,53.08,0.0,0.0,40.0,94,0.3591372680664062,True,REGULAR,USD,2026-01-16,12,683.1699829101562,51.695,1.0792574769512735,0.0328767123287671,50.9189909454368,-0.7760090545631968,0.7760090545631968,-0.0150112980861436,0.26975040249034765
SPY260116C00634000,2026-01-02 20:59:04+00:00,634.0,50.25,49.31,52.11,-7.279999,-12.654265,40.0,26,0.3550479534912109,True,REGULAR,USD,2026-01-16,12,683.1699829101562,50.71,1.0775551780917292,0.0328767123287671,49.9202717082693,-0.7897282917307038,0.7897282917307038,-0.0155734232248216,0.2663704626303614
SPY260116C00635000,2026-01-02 20:08:23+00:00,635.0,49.64,49.29,49.93,-0.13000107,-0.26120368,32.0,4420,0.3013985876464844,True,REGULAR,USD,2026-01-16,12,683.1699829101562,49.61,1.0758582408033956,0.0328767123287671,48.921586944799856,-0.6884130552001437,0.6884130552001437,-0.0138764977867394,0.25448389971518515
SPY260116C00636000,2025-12-26 14:53:41+00:00,636.0,57.26,48.34,48.87,0.0,0.0,40.0,765,0.293830303955078,True,REGULAR,USD,2026-01-16,12,683.1699829101562,48.605,1.0741666397958431,0.0328767123287671,47.92294771508955,-0.6820522849104478,0.6820522849104478,-0.0140325539535119,0.24969660525420306
SPY260116C00638000,2025-12-24 16:32:22+00:00,638.0,54.53,45.36,48.16,0.0,0.0,40.0,47,0.3357610369873046,True,REGULAR,USD,2026-01-16,12,683.1699829101562,46.76,1.0707993462541634,0.0328767123287671,45.92586673256483,-0.8341332674351705,0.8341332674351705,-0.0178386070880062,0.2518151920419038
SPY260116C00639000,2026-01-02 20:57:15+00:00,639.0,44.73,44.38,47.15,-4.549999,-9.232953,32.0,9,0.3300848242187499,True,REGULAR,USD,2026-01-16,12,683.1699829101562,45.765,1.069123603928257,0.0328767123287671,44.92746625105167,-0.8375337489483314,0.8375337489483314,-0.0183007483655267,0.24760761216276883
SPY260116C00640000,2026-01-02 20:52:30+00:00,640.0,44.23,44.39,44.94,-0.61999893,-1.3823835,66.0,16668,0.2776561492919921,True,REGULAR,USD,2026-01-16,12,683.1699829101562,44.665,1.067453098297119,0.0328767123287671,43.92919591440989,-0.7358040855901109,0.7358040855901109,-0.0164738404923342,0.23632392022621632
SPY260116C00641000,2026-01-02 20:49:16+00:00,641.0,42.65,43.41,43.98,-6.459999,-13.154141,2.0,168,0.2745433874511719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,43.69499999999999,1.0657878048520375,0.0328767123287671,42.93109218376617,-0.7639078162338251,0.7639078162338251,-0.0174827283724413,0.23389455492424965
SPY260116C00642000,2025-12-30 15:40:46+00:00,642.0,46.75,42.42,43.0,0.0,0.0,2.0,172,0.2704540728759765,True,REGULAR,USD,2026-01-16,12,683.1699829101562,42.71,1.0641276992370037,0.0328767123287671,41.933200423419635,-0.7767995765803661,0.7767995765803661,-0.0181877681241012,0.23038560085365178
SPY260116C00644000,2026-01-02 20:59:49+00:00,644.0,40.5,40.45,41.04,-4.299999,-9.598212,82.0,1002,0.2622144091796875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,40.745000000000005,1.0608229548294352,0.0328767123287671,39.93828983820424,-0.8067101617957633,0.8067101617957633,-0.0197989977124987,0.2235625998359025
SPY260116C00645000,2026-01-02 19:46:17+00:00,645.0,39.6,39.48,40.06,-1.4600029,-3.5557792,7.0,8151,0.2580640600585938,True,REGULAR,USD,2026-01-16,12,683.1699829101562,39.77,1.0591782680777615,0.0328767123287671,38.94142377705157,-0.8285762229484348,0.8285762229484348,-0.0208342022365711,0.2205401089114845
SPY260116C00647000,2026-01-02 20:54:44+00:00,647.0,37.19,37.5,38.11,-1.050003,-2.7458239,30.0,344,0.2500685345458984,True,REGULAR,USD,2026-01-16,12,683.1699829101562,37.805,1.0559041466926682,0.0328767123287671,36.94938141639216,-0.8556185836078427,0.8556185836078427,-0.0226324185585992,0.2134139289691448
