contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot
SPY260116C00210000,2025-12-26 15:13:56+00:00,210.0,476.5,472.34,475.12,-4.1700134,-0.8675418,1.0,67,2.6445346386718755,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00215000,2025-12-18 20:59:29+00:00,215.0,461.5,467.34,470.1,0.0,0.0,5.0,1,2.587894155273437,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00220000,2025-12-18 19:48:00+00:00,220.0,456.33,462.35,465.14,0.0,0.0,50.0,5,2.5537145532226564,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00225000,2025-12-18 19:48:00+00:00,225.0,451.66,457.37,460.12,0.0,0.0,50.0,0,2.5058631103515623,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00230000,2025-12-19 17:02:16+00:00,230.0,450.6,452.37,455.15,0.0,0.0,2.0,7,2.4668007080078125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00235000,2025-12-18 19:48:00+00:00,235.0,441.65,447.38,450.18,0.0,0.0,25.0,5,2.4306679858398432,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00240000,2025-12-18 19:48:00+00:00,240.0,436.53,442.39,445.17,0.0,0.0,25.0,8,2.3847696630859367,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00245000,2025-06-23 13:30:09+00:00,245.0,354.04,418.27,421.45,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00250000,2026-01-02 15:11:54+00:00,250.0,435.5,432.41,435.19,-2.899994,-0.661495,1.0,34,2.306644858398437,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00255000,2025-12-19 15:04:51+00:00,255.0,425.93,427.42,430.17,0.0,0.0,1.0,3,2.2617230957031245,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00260000,2025-12-08 14:59:01+00:00,260.0,425.5,422.42,425.2,0.0,0.0,1.0,1,2.2265669335937495,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00265000,2025-11-20 18:12:57+00:00,265.0,396.27,417.42,420.21,0.0,0.0,1.0,0,2.1875045312499997,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00270000,2025-12-18 19:48:00+00:00,270.0,406.17,412.44,415.23,0.0,0.0,25.0,1,2.156254609375,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00275000,2025-12-18 19:48:00+00:00,275.0,401.34,407.45,410.24,0.0,0.0,50.0,6,2.1201218872070307,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00280000,2025-12-18 19:48:00+00:00,280.0,396.17,402.45,405.24,0.0,0.0,50.0,7,2.081059484863281,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00285000,2025-12-24 16:29:18+00:00,285.0,405.51,397.46,400.23,0.0,0.0,1.0,1,2.042973642578125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00290000,2025-12-18 21:09:19+00:00,290.0,384.9,392.46,395.27,0.0,0.0,495.0,0,2.0127002807617185,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00295000,2025-12-18 19:48:00+00:00,295.0,381.47,387.48,390.26,0.0,0.0,50.0,0,1.9775391748046878,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00300000,2025-12-31 18:38:19+00:00,300.0,380.53,382.48,385.27,-5.480011,-1.4196551,6.0,54,1.9423831005859378,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00305000,2025-12-19 19:04:51+00:00,305.0,377.54,377.49,380.29,0.8200073,0.21767025,1.0,9,1.9121098144531252,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00310000,2025-12-22 14:43:52+00:00,310.0,374.52,372.51,375.3,0.0,0.0,1.0,8,1.8818365283203122,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00315000,2025-12-19 19:04:51+00:00,315.0,369.53,367.52,370.31,2.7900085,0.7607593,7.0,13,1.8500984057617185,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00320000,2026-01-02 16:44:59+00:00,320.0,362.12,362.51,365.29,-1.3500061,-0.3714216,4.0,43,1.8105478222656248,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00325000,2025-12-26 19:47:43+00:00,325.0,365.97,357.53,360.31,0.0,0.0,1.0,26,1.783204208984375,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00330000,2025-12-18 21:08:11+00:00,330.0,344.84,352.54,355.32,0.0,0.0,675.0,40,1.7524426440429686,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00335000,2025-12-19 19:04:09+00:00,335.0,348.56,347.55,350.33,0.0,0.0,24.0,44,1.72265763671875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00340000,2025-12-22 19:16:40+00:00,340.0,345.46,342.56,345.35,0.0,0.0,1.0,2,1.6943374658203125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00345000,2025-12-18 19:48:25+00:00,345.0,331.52,337.56,340.36,0.0,0.0,25.0,0,1.6635759008789064,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00350000,2026-01-02 14:36:39+00:00,350.0,336.91,332.57,335.37,2.0,0.59717536,3.0,10,1.6342791723632812,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00355000,2026-01-02 14:30:45+00:00,355.0,330.76,327.57,330.37,0.76000977,0.23030598,5.0,60,1.6030293286132813,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00360000,2025-12-18 21:08:29+00:00,360.0,317.55,322.58,325.37,0.0,0.0,1920.0,82,1.5732443212890623,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00365000,2026-01-02 14:34:18+00:00,365.0,320.13,317.59,320.39,7.580017,2.4252174,1.0,2,1.5463889868164062,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00370000,2026-01-02 16:44:59+00:00,370.0,312.2,312.61,315.39,5.610016,1.8298104,4.0,4,1.519045373535156,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00375000,2025-12-19 15:01:02+00:00,375.0,306.17,307.62,310.36,0.0,0.0,14.0,9,1.486330693359375,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00380000,2025-12-18 21:09:02+00:00,380.0,297.55,302.62,305.4,0.0,0.0,446.0,0,1.4619167529296875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00385000,2025-12-18 21:08:16+00:00,385.0,292.55,297.63,300.43,0.0,0.0,990.0,0,1.4375028125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00390000,2025-12-18 21:08:46+00:00,390.0,287.55,292.64,295.44,0.0,0.0,880.0,2,1.410647478027344,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00395000,2025-12-18 21:09:02+00:00,395.0,279.89,287.65,290.45,0.0,0.0,480.0,0,1.3842804223632812,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00400000,2026-01-02 18:59:43+00:00,400.0,280.95,283.67,284.25,-8.769989,-3.0270567,12.0,134,1.3344759838867182,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00405000,2025-12-18 21:08:11+00:00,405.0,269.84,277.66,280.45,0.0,0.0,625.0,1,1.3286166381835933,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00410000,2025-12-23 19:09:07+00:00,410.0,279.06,272.68,275.46,0.0,0.0,3.0,16,1.3042026977539058,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00415000,2025-12-19 14:48:54+00:00,415.0,265.5,267.69,270.46,0.0,0.0,1.0,1,1.2778356420898436,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00420000,2025-12-23 15:17:52+00:00,420.0,266.43,262.69,265.48,0.0,0.0,1.0,31,1.2524451440429685,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00425000,2025-12-26 19:50:25+00:00,425.0,264.8,257.7,259.58,0.0,0.0,1.0,9,1.1142622412109375,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00430000,2025-12-26 20:51:28+00:00,430.0,250.76,252.7,255.34,-10.440018,-3.9969437,1.0,6,1.1853068078613282,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00435000,2026-01-02 15:35:57+00:00,435.0,249.26,247.72,250.5,1.9700012,0.796636,2.0,0,1.1770060681152343,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00440000,2025-12-18 18:48:39+00:00,440.0,238.89,242.72,245.51,0.0,0.0,1.0,5,1.1518597094726561,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00445000,2025-12-19 15:05:05+00:00,445.0,236.52,237.73,240.52,0.0,0.0,3.0,6,1.1274457690429687,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00450000,2026-01-02 19:41:42+00:00,450.0,234.46,232.75,235.54,-0.94999695,-0.40354994,3.0,44,1.1052290832519533,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00455000,2025-12-29 14:36:58+00:00,455.0,235.0,227.76,230.55,0.0,0.0,1.0,17,1.0813034216308592,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00460000,2025-12-26 16:31:56+00:00,460.0,231.47,222.77,225.54,0.0,0.0,2.0,12,1.0556687841796877,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00465000,2025-12-26 16:30:47+00:00,465.0,224.72,217.78,220.57,0.0,0.0,4.0,4,1.0339403771972657,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00470000,2025-12-23 14:51:09+00:00,470.0,217.24,212.78,215.58,0.0,0.0,5.0,31,1.009770576171875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00475000,2025-12-22 18:31:13+00:00,475.0,210.99,207.79,210.58,-0.33000183,-0.15616213,1.0,11,0.9855958471679689,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00480000,2025-12-30 19:25:56+00:00,480.0,209.0,202.8,205.6,0.0,0.0,1.0,81,0.9631351342773438,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00485000,2025-12-31 15:06:27+00:00,485.0,201.69,198.87,199.36,0.0,0.0,4.0,2297,0.9255378540039063,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00490000,2025-12-31 15:06:23+00:00,490.0,196.66,193.82,194.41,0.0,0.0,4.0,325,0.901368173828125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00495000,2025-12-29 17:13:29+00:00,495.0,193.03,188.86,189.42,0.0,0.0,4.0,165,0.8813488427734374,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00500000,2026-01-02 19:36:37+00:00,500.0,184.27,183.83,184.46,-2.399994,-1.2856882,60.0,1795,0.858399853515625,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00505000,2025-12-31 15:04:44+00:00,505.0,181.67,178.84,179.4,0.0,0.0,4.0,241,0.831056376953125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00510000,2026-01-02 14:38:06+00:00,510.0,173.94,173.85,174.48,-4.2099915,-2.3631723,3.0,1243,0.8142108422851562,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00515000,2026-01-02 20:38:16+00:00,515.0,169.2,168.84,169.49,-4.529999,-2.6074936,17.0,1379,0.7907735766601562,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00520000,2026-01-02 20:20:14+00:00,520.0,164.5,163.87,164.5,-1.8600006,-1.1180576,4.0,2701,0.7702659692382813,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00525000,2026-01-02 14:44:43+00:00,525.0,160.75,158.89,159.44,-3.2299957,-1.9697498,3.0,2810,0.7446314599609375,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00530000,2026-01-02 19:31:05+00:00,530.0,153.96,153.87,154.49,-1.8399963,-1.1809989,3.0,4334,0.7236355761718749,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00535000,2025-12-31 15:09:46+00:00,535.0,151.73,148.93,149.5,0.0,0.0,4.0,2970,0.7050810742187501,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00540000,2026-01-02 19:09:10+00:00,540.0,142.39,143.92,144.49,-3.1100006,-2.1374574,11.0,3633,0.6811555322265627,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00545000,2025-12-31 19:59:30+00:00,545.0,140.49,138.91,139.52,0.0,0.0,3.0,3143,0.6596713720703126,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00550000,2026-01-02 21:05:39+00:00,550.0,134.25,133.95,134.56,-1.8600006,-1.3665422,10.0,12632,0.641605146484375,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00555000,2026-01-02 19:11:13+00:00,555.0,127.37,129.03,129.54,-6.609993,-4.933567,5.0,3237,0.6223182299804688,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00560000,2026-01-02 16:56:21+00:00,560.0,121.5,123.96,124.56,-5.779999,-4.541168,5.0,2469,0.5971719970703125,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00565000,2026-01-02 19:12:07+00:00,565.0,117.87,118.95,119.6,-6.949997,-5.5680156,10.0,3440,0.5764202514648438,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00570000,2026-01-02 14:35:38+00:00,570.0,115.47,114.0,114.58,1.090004,0.9529673,1.0,11160,0.5556685058593751,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00575000,2026-01-02 19:25:02+00:00,575.0,108.67,109.0,109.63,-0.20999908,-0.19287205,8.0,5006,0.5356491748046875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00580000,2026-01-02 18:03:39+00:00,580.0,102.59,104.08,104.61,-0.9700012,-0.93665624,46.0,6536,0.5161181201171875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00585000,2026-01-02 18:24:25+00:00,585.0,97.75,99.04,99.63,-1.75,-1.758794,16.0,3197,0.5163622583007812,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00590000,2026-01-02 17:45:03+00:00,590.0,93.07,94.06,94.65,-4.1299973,-4.2489686,21.0,3689,0.49487809814453126,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00595000,2026-01-02 16:52:41+00:00,595.0,86.66,89.07,89.63,-2.3799973,-2.672953,10.0,3905,0.47058634887695316,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00600000,2026-01-02 20:48:42+00:00,600.0,83.28,84.09,84.64,-1.1100006,-1.3153224,137.0,18941,0.44836977416992185,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00605000,2026-01-02 21:05:45+00:00,605.0,79.4,79.12,79.7,-2.1800003,-2.672224,6.0,3455,0.4294490649414063,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00610000,2026-01-02 21:05:37+00:00,610.0,74.42,74.14,74.72,-0.22000122,-0.29474977,170.0,4319,0.40759869750976563,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00615000,2026-01-02 20:59:50+00:00,615.0,69.17,69.16,69.71,-2.209999,-3.0961041,88.0,2936,0.3839172937011719,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00620000,2026-01-02 20:49:47+00:00,620.0,63.66,64.23,64.73,-1.1099968,-1.7137514,74.0,5416,0.3619448571777344,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00621000,2025-12-23 20:45:19+00:00,621.0,69.31,63.18,64.98,0.0,0.0,54.0,40,0.4172421557617187,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00622000,2026-01-02 20:59:43+00:00,622.0,62.2,61.21,64.0,-7.0600014,-10.193476,28.0,28,0.41296973754882804,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00623000,2025-12-26 14:53:05+00:00,623.0,69.99,60.21,62.98,0.0,0.0,40.0,45,0.40698835205078127,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00624000,2025-12-24 16:46:43+00:00,624.0,68.67,60.21,60.77,0.0,0.0,352.0,196,0.3455875988769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00625000,2026-01-02 20:46:22+00:00,625.0,58.69,59.21,59.84,-0.5400009,-0.91170174,36.0,3035,0.34448897705078124,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00626000,2025-12-29 17:19:56+00:00,626.0,62.62,58.21,58.85,0.0,0.0,17.0,105,0.3403386279296875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00627000,2025-12-23 14:50:21+00:00,627.0,56.78,56.24,59.03,-4.7800026,-7.7647867,40.0,75,0.38843385009765624,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00628000,2025-12-31 14:48:57+00:00,628.0,54.49,56.25,56.8,-4.779999,-8.064786,1.0,128,0.3283758569335937,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00629000,2025-12-31 17:23:43+00:00,629.0,57.49,54.27,57.05,0.0,0.0,2.0,62,0.3788514263916015,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00630000,2026-01-02 19:07:56+00:00,630.0,52.67,54.25,54.86,-2.210003,-4.0269732,85.0,3788,0.3219061950683593,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00631000,2026-01-02 20:56:52+00:00,631.0,52.65,53.27,53.86,-9.919998,-15.854241,40.0,201,0.3171455004882812,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00632000,2025-12-24 16:27:24+00:00,632.0,60.36,51.3,54.08,0.0,0.0,2.0,2,0.36438623901367195,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00633000,2025-12-29 14:35:05+00:00,633.0,57.04,50.31,53.08,0.0,0.0,40.0,94,0.3591372680664062,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00634000,2026-01-02 20:59:04+00:00,634.0,50.25,49.31,52.11,-7.279999,-12.654265,40.0,26,0.3550479534912109,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00635000,2026-01-02 20:08:23+00:00,635.0,49.64,49.29,49.93,-0.13000107,-0.26120368,32.0,4420,0.3013985876464844,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00636000,2025-12-26 14:53:41+00:00,636.0,57.26,48.34,48.87,0.0,0.0,40.0,765,0.29383030395507803,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00637000,2025-12-26 17:27:11+00:00,637.0,55.17,46.34,49.11,0.0,0.0,2.0,24,0.33924000610351557,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00638000,2025-12-24 16:32:22+00:00,638.0,54.53,45.36,48.16,0.0,0.0,40.0,47,0.33576103698730464,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00639000,2026-01-02 20:57:15+00:00,639.0,44.73,44.38,47.15,-4.549999,-9.232953,32.0,9,0.33008482421874996,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00640000,2026-01-02 20:52:30+00:00,640.0,44.23,44.39,44.94,-0.61999893,-1.3823835,66.0,16668,0.2776561492919921,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00641000,2026-01-02 20:49:16+00:00,641.0,42.65,43.41,43.98,-6.459999,-13.154141,2.0,168,0.2745433874511719,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00642000,2025-12-30 15:40:46+00:00,642.0,46.75,42.42,43.0,0.0,0.0,2.0,172,0.27045407287597656,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00643000,2025-12-30 15:35:35+00:00,643.0,39.1,40.45,43.2,-6.630001,-14.498144,2.0,77,0.3104317004394531,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00644000,2026-01-02 20:59:49+00:00,644.0,40.5,40.45,41.04,-4.299999,-9.598212,82.0,1002,0.2622144091796875,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00645000,2026-01-02 19:46:17+00:00,645.0,39.6,39.48,40.06,-1.4600029,-3.5557792,7.0,8151,0.2580640600585938,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00646000,2025-12-30 18:48:48+00:00,646.0,43.69,37.51,40.28,0.0,0.0,1.0,40,0.29682099670410156,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00647000,2026-01-02 20:54:44+00:00,647.0,37.19,37.5,38.11,-1.050003,-2.7458239,30.0,344,0.2500685345458984,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00648000,2026-01-02 20:56:43+00:00,648.0,35.92,35.56,38.35,-4.710003,-11.592426,32.0,51,0.28815409118652335,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00649000,2025-12-26 19:45:25+00:00,649.0,43.61,34.59,37.37,0.0,0.0,42.0,51,0.28321029296874994,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00650000,2026-01-02 20:28:53+00:00,650.0,35.01,34.79,35.16,-0.11000061,-0.3132136,126.0,29571,0.23676300354003904,True,REGULAR,USD,2026-01-16,12,683.1699829101562
